,date,ticker,expected_returns
2068,2021-08-31,CCL,-0.61203504
2069,2020-06-30,BIO,0.06606528
2070,2020-09-30,BIO,0.0033480525
2071,2020-12-31,BIO,0.05294788
2072,2021-03-31,BIO,0.07446343
2073,2021-06-30,BIO,0.059940994
2074,2021-09-30,BIO,0.03868872
2075,2020-06-30,UDR,0.013709903
2076,2020-09-30,UDR,-0.0019605756
2077,2020-12-31,UDR,0.023722023
2078,2021-03-31,UDR,0.006385118
2079,2021-06-30,UDR,3.3438206e-05
2080,2021-09-30,UDR,0.0009981096
2081,2020-06-30,EMN,0.012944937
2082,2020-09-30,EMN,0.027546108
2083,2020-12-31,EMN,0.016023427
2084,2021-03-31,EMN,0.014255077
2085,2021-06-30,EMN,0.023417473
2086,2021-09-30,EMN,0.04479435
2087,2020-06-30,CNP,-0.07435477
2088,2020-09-30,CNP,-0.020529151
2089,2020-12-31,CNP,-0.01449132
2090,2021-03-31,CNP,-0.009311914
2091,2021-06-30,CNP,-0.019641757
2092,2021-09-30,CNP,-0.019025624
2093,2020-07-11,AAP,0.027948469
2094,2020-09-30,AAP,0.04077345
2095,2020-12-31,AAP,0.03797716
2096,2021-04-24,AAP,0.0415605
2097,2021-07-17,AAP,0.0415605
2098,2021-10-09,AAP,0.04714164
2099,2020-06-30,BRO,0.028223783
2100,2020-09-30,BRO,0.024084657
2101,2020-12-31,BRO,0.043064535
2102,2021-03-31,BRO,0.039250523
2103,2021-06-30,BRO,0.049118042
2104,2021-09-30,BRO,0.006119311
2105,2020-05-31,CAG,-0.03822142
2106,2020-08-30,CAG,-0.0019914508
2107,2020-11-29,CAG,0.0001552403
2108,2021-02-28,CAG,-0.012375236
2109,2021-05-30,CAG,-0.01830113
2110,2021-08-29,CAG,-0.016290963
2111,2020-06-30,UAL,-0.6556479
2112,2020-09-30,UAL,-0.75323
2113,2020-12-31,UAL,-0.36155188
2114,2021-03-31,UAL,-0.16038197
2115,2021-06-30,UAL,-0.20318335
2116,2021-09-30,UAL,-0.10324389
2117,2020-06-30,ABMD,-0.06656331
2118,2020-09-30,ABMD,-0.014325142
2119,2020-12-31,ABMD,-0.026102781
2120,2021-03-31,ABMD,-0.015499413
2121,2021-06-30,ABMD,-0.045817196
2122,2021-09-30,ABMD,0.0052565634
2123,2020-06-30,LYV,-0.13290858
2124,2020-09-30,LYV,-0.057271063
2125,2020-12-31,LYV,-0.047035694
2126,2021-03-31,LYV,-0.0040008426
2127,2021-06-30,LYV,0.07178435
2128,2021-09-30,LYV,0.014485955
2129,2020-06-30,OMC,-0.033539355
2130,2020-09-30,OMC,0.0043552816
2131,2020-12-31,OMC,0.0144459605
2132,2021-03-31,OMC,0.0027038157
2133,2021-06-30,OMC,0.007788092
2134,2021-09-30,OMC,0.007788092
2135,2020-06-30,TFX,0.060784608
2136,2020-09-30,TFX,0.07289225
2137,2020-12-31,TFX,0.04125464
2138,2021-03-31,TFX,0.05285725
2139,2021-06-30,TFX,0.053490877
2140,2021-09-30,TFX,0.05515623
2141,2020-06-30,KIM,-0.08722597
2142,2020-09-30,KIM,-0.08725083
2143,2020-12-31,KIM,-0.036111534
2144,2021-03-31,KIM,-0.050568223
2145,2021-06-30,KIM,0.0003209114
2146,2021-09-30,KIM,-0.03526938
2147,2020-06-30,FBHS,0.004686743
2148,2020-09-30,FBHS,0.024330586
2149,2020-12-31,FBHS,0.021255225
2150,2021-03-31,FBHS,0.03652212
2151,2021-06-30,FBHS,0.03670898
2152,2021-09-30,FBHS,0.038370013
2153,2020-06-30,WHR,0.025747359
2154,2020-09-30,WHR,0.0780136
2155,2020-12-31,WHR,0.06687662
2156,2021-03-31,WHR,0.03625372
2157,2021-06-30,WHR,0.05324781
2158,2021-09-30,WHR,0.03285411
2159,2020-07-31,SJM,0.046653926
2160,2020-10-31,SJM,0.045601696
2161,2021-01-31,SJM,-0.0021649003
2162,2021-04-30,SJM,0.037552714
2163,2021-07-31,SJM,0.045407772
2164,2021-10-31,SJM,0.036756873
2165,2020-06-30,LNT,0.007975727
2166,2020-09-30,LNT,0.014758378
2167,2020-12-31,LNT,-0.00017678738
2168,2021-03-31,LNT,0.016540736
2169,2021-06-30,LNT,0.013097554
2170,2021-09-30,LNT,0.02724266
2171,2020-06-30,NLOK,-0.057160854
2172,2020-09-30,NLOK,-0.037717223
2173,2020-12-31,NLOK,-0.03627014
2174,2021-03-31,NLOK,-0.03009361
2175,2021-06-30,NLOK,-0.035203755
2176,2021-09-30,NLOK,0.009801894
2177,2020-06-30,CAH,-0.005968809
2178,2020-09-30,CAH,-0.016236186
